Country,Region,Study_midyear,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
USA,Minnesota,1998.5,Mix,Temperate,Deciduous,Dry,5.7,660.0
Spain,Murcia,2006.5,"Olea europaea, Pinus halepensis; Rosmarinus officinalis; Quercus coccifera; Rhamnus lycioides; Juniperus oxycedrus",Mediterranean,Evergreen,Dry,15.5,370.0
USA,Colorado,1999.0,Bouteloua gracilis; Buchlo‘ dactyloides; Pascopyrum smithii,Temperate,Deciduous,Dry,9.0,321.0
USA,Colorado,2000.0,Bouteloua gracilis; Buchlo‘ dactyloides; Pascopyrum smithii,Temperate,Deciduous,Dry,9.0,321.0
Thailand,Chachoengsao,2010.0,Hevea brasiliensis,Tropical,Evergreen,Dry,28.1,1328.0
Thailand,Chachoengsao,2011.0,Hevea brasiliensis,Tropical,Evergreen,Dry,28.1,1328.0
China,Jilin,2013.0,"Pinus, Quercus, Acer mono",Temperate,Evergreen,Dry,3.6,690.0
China,Jilin,2002.0,Pinus koraiensis; Tilia amurensis; Acer mono; Fraxinus mandshurica; Quercus mongolica,Temperate,Mixed,Dry,6.1,760.0
China,Beijing,2015.0,Triticum aestivum,Temperate,Deciduous,Dry,13.0,507.7
China,Shaanxi,2009.0,Robinia pseudoacacia,Temperate,Deciduous,Dry,9.4,580.0
China,Shaanxi,2010.0,Robinia pseudoacacia,Temperate,Deciduous,Dry,9.4,580.0
China,Shaanxi,2011.0,"Robinia pseudoacacia, Triticum aestivum",Temperate,Deciduous,Dry,9.4,568.0
China,Shaanxi,2012.0,"Robinia pseudoacacia, Triticum aestivum",Temperate,Deciduous,Dry,9.4,568.0
China,Shaanxi,2013.0,"Robinia pseudoacacia, Triticum aestivum",Temperate,Deciduous,Dry,9.4,568.0
China,Shaanxi,2014.0,Triticum aestivum,Temperate,Deciduous,Dry,9.4,560.0
China,Shannxi,2008.0,Triticum aestivum,Temperate,Deciduous,Dry,9.2,560.0
China,Shannxi,2011.0,"Pisum sativum, Panicum miliaceum:, Triticum aestivum",Temperate,Deciduous,Dry,9.4,560.0
China,Shaanxi Province,2011.5,Malus Pumila,Temperate,Deciduous,Dry,9.4,578.0
China,Shaanxi Province,2012.5,Malus Pumila,Temperate,Deciduous,Dry,9.4,578.0
