Study_midyear,Country,Region,Site_name,Species,Biome,Leaf_habit,Soil_drainage,MAT,MAP,Species_traducida
1981.0,USA,Tennessee,Oak Ridge,Quercus spp.,Temperate,Deciduous,Dry,14.0,1500.0,Quercus spp.
1981.0,USA,Tennessee,Oak Ridge,Quercus spp.,Temperate,Deciduous,Dry,14.0,1500.0,Quercus spp.
1981.0,USA,Alaska,Schlentner4,Picea glauca,Boreal,Evergreen,Dry,-3.5,286.0,Picea glauca
1981.0,USA,Alaska,Schlentner3,Picea mariana,Boreal,Evergreen,Dry,-3.5,286.0,Picea mariana
1981.0,USA,Alaska,Schlentner2,Betula papyrifera,Boreal,Deciduous,Dry,-3.5,286.0,Betula papyrifera
1981.0,USA,Alaska,Schlentner1,Populus tremuloides,Boreal,Deciduous,Dry,-3.5,286.0,Populus tremuloides
1981.5,Japan,Hiroshima,Mt. Takao,Pinus densiflora,Temperate,Evergreen,Dry,15.0,1544.0,Pinus densiflora
1981.5,USA,Massachusetts,Great Sippewissett Salt Marsh,Spartina alterniflora,Temperate,Evergreen,Wet,10.3,1113.0,Spartina alterniflora
1983.0,Canada,Ontario,Great Lakes-St. Lawrence Forest Region of Rowe,Comptonia peregrina; Kalmia angustifolia; Vaccinium spp.,Temperate,Deciduous,Dry,4.5,800.0,Comptonia peregrina; Kalmia angustifolia; Vaccinium spp.
1983.0,Canada,Ontario,Great Lakes-St. Lawrence Forest Region of Rowe,Pinus banksiana,Temperate,Evergreen,Dry,4.5,800.0,Pinus banksiana
1983.0,USA,Alaska,Carex Lawn,Carex aquatilis; Cares limosa; Sphagnum riparium,Boreal,Evergreen,Wet,-3.5,280.0,Carex aquatilis; Cares limosa; Sphagnum riparium
1983.0,Canada,Ontario,Great Lakes-St. Lawrence Forest Region of Rowe,Pinus banksiana,Temperate,Evergreen,Dry,4.5,800.0,Pinus banksiana
1983.0,USA,Alaska,Andromeda Lawn,Andromeda polifolia,Boreal,Evergreen,Wet,-3.5,280.0,Andromeda polifolia
1983.0,USA,Alaska,Bog Forest,Picea mariana,Boreal,Evergreen,Wet,-3.5,280.0,Picea mariana
1983.0,Canada,Ontario,Great Lakes-St. Lawrence Forest Region of Rowe,Pinus banksiana,Temperate,Evergreen,Dry,4.5,800.0,Pinus banksiana
1983.0,Canada,Ontario,Great Lakes-St. Lawrence Forest Region of Rowe,Pinus banksiana,Temperate,Evergreen,Dry,4.5,800.0,Pinus banksiana
1983.0,USA,Florida,Bradford County,Pinus elliottii,Tropical,Evergreen,Dry,24.0,1320.0,Pinus elliottii
1983.5,USA,South Carolina,Oyster Landing,Spartina alterniflora,Temperate,Deciduous,Wet,16.6,1269.0,Spartina alterniflora
1983.5,USA,South Carolina,Oyster Landing,Spartina alterniflora,Temperate,Deciduous,Wet,16.6,1269.0,Spartina alterniflora
1984.0,Canada,Ontario,Petawawa National Forest Institute,Pinus resinosa; Pinus strobus; Populus tremuloides; Populus grandidentata,Temperate,Mixed,Dry,4.4,800.0,Pinus resinosa; Pinus strobus; Populus tremuloides; Populus grandidentata
1984.0,USA,Puerto Rico,Luquillo Experimental Forest,Dacryodes excelsa,Tropical,Evergreen,Dry,18.3,4000.0,Dacryodes excelsa
1984.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1984.0,Canada,Ontario,Petawawa National Forest Institute,Pinus resinosa; Pinus strobus; Populus tremuloides; Populus grandidentata,Temperate,Mixed,Dry,4.4,800.0,Pinus resinosa; Pinus strobus; Populus tremuloides; Populus grandidentata
1984.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1984.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1984.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1984.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1984.0,Canada,Ontario,Petawawa National Forest Institute,Pinus resinosa; Pinus strobus; Populus tremuloides; Populus grandidentata,Temperate,Mixed,Dry,4.4,800.0,Pinus resinosa; Pinus strobus; Populus tremuloides; Populus grandidentata
1984.5,India,Haryana,Siwaliks,Anogeissus latifolia; Lannea coromandelica; Flacourtia indica,Tropical,Deciduous,Dry,23.0,1069.0,Anogeissus latifolia; Lannea coromandelica; Flacourtia indica
1984.5,India,Haryana,Siwaliks,Pinus roxburghii,Tropical,Evergreen,Dry,23.0,1069.0,Pinus roxburghii
1984.5,India,Haryana,Siwaliks,Flacourtia indica,Tropical,Deciduous,Dry,23.0,1069.0,Flacourtia indica
1984.5,USA,Utah,Brighton Basin,Grasses (mix),Temperate,Deciduous,Dry,1.6,1090.0,Grasses (mix)
1985.0,USA,Missouri,Sanborn Field,Triticum aestivum,Temperate,Deciduous,Dry,12.5,973.0,Trigo
1985.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1985.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1985.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1985.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1985.0,USA,Missouri,Tucker Prairie Research Station,Andropogon gerardi,Temperate,Deciduous,Dry,12.5,973.0,Andropogon gerardi
1985.0,USA,Michigan,University of Michigan Biological Station,Populus grandidentata; Quercus rubra; Acer rubrum,Temperate,Deciduous,Dry,5.5,817.0,Populus grandidentata; Quercus rubra; Acer rubrum
1985.0,USA,Michigan,University of Michigan Biological Station,Populus grandidentata; Quercus rubra; Acer rubrum,Temperate,Deciduous,Dry,5.5,817.0,Populus grandidentata; Quercus rubra; Acer rubrum
1985.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus banksiana,Temperate,Evergreen,Dry,4.3,820.0,Pinus banksiana
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus banksiana,Temperate,Evergreen,Dry,4.3,820.0,Pinus banksiana
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus banksiana,Temperate,Evergreen,Dry,4.3,820.0,Pinus banksiana
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus resinosa,Temperate,Evergreen,Dry,4.3,820.0,Pinus resinosa
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus banksiana,Temperate,Evergreen,Dry,4.3,820.0,Pinus banksiana
1985.5,USA,California,Panoche Creek,Erodium spp.; Malva spp.; Atriplex polycarpa; grasses,Temperate,Deciduous,Dry,17.0,127.0,Erodium spp.; Malva spp.; Atriplex polycarpa; grasses
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus resinosa,Temperate,Evergreen,Dry,4.3,820.0,Pinus resinosa
1985.5,Canada,Ontario,Petawawa Research Forest,Pinus resinosa,Temperate,Evergreen,Dry,4.3,820.0,Pinus resinosa
1985.5,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.3,820.0,Populus tremuloides
1985.5,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.3,820.0,Populus tremuloides
1985.5,India,Haryana,Siwaliks,Flacourtia indica,Tropical,Deciduous,Dry,23.0,1069.0,Flacourtia indica
1985.5,India,Haryana,Siwaliks,Pinus roxburghii,Tropical,Evergreen,Dry,23.0,1069.0,Pinus roxburghii
1985.5,India,Haryana,Siwaliks,Anogeissus latifolia; Lannea coromandelica; Flacourtia indica,Tropical,Deciduous,Dry,23.0,1069.0,Anogeissus latifolia; Lannea coromandelica; Flacourtia indica
1985.5,USA,California,Panoche Creek,Juglans spp.,Temperate,Deciduous,Dry,17.0,127.0,Juglans spp.
1986.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1986.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1986.0,USA,Missouri,Sanborn Field,Triticum aestivum,Temperate,Deciduous,Dry,12.5,973.0,Trigo
1986.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1986.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1986.0,Canada,Ontario,Petawawa Research Forest,Populus tremuloides,Temperate,Deciduous,Dry,4.4,800.0,Populus tremuloides
1987.0,USA,West Virginia,West Virginia University Forest,Quercus spp.; Acer rubrum; Prunus serotina; Carya spp.; Liriodendron tulipifera,Temperate,Deciduous,Dry,9.8,1470.0,Quercus spp.; Acer rubrum; Prunus serotina; Carya spp.; Liriodendron tulipifera
1987.0,Canada,Quebec,Schefferville-string,Mix,Boreal,Evergreen,Wet,0.0,791.0,Mix
1987.0,USA,West Virginia,West Virginia University Forest,Quercus spp.; Acer rubrum; Prunus serotina; Carya spp.; Liriodendron tulipifera,Temperate,Deciduous,Dry,9.8,1470.0,Quercus spp.; Acer rubrum; Prunus serotina; Carya spp.; Liriodendron tulipifera
1987.0,Canada,Quebec,Schefferville-flark,Mix,Boreal,Evergreen,Wet,0.0,791.0,Mix
1987.0,Canada,Quebec,Schefferville-pool,Mix,Boreal,Evergreen,Wet,0.0,791.0,Mix
1987.5,USA,Kansas,Konza Prairie,Andropogon gerardii; Sorghastrum nutans; Panicum virgatum,Temperate,Deciduous,Dry,12.5,835.0,Andropogon gerardii; Sorghastrum nutans; Panicum virgatum
1988.0,USA,Georgia,Ogeechee-WFP,Quercus laurifolia,Temperate,Deciduous,Wet,19.0,1258.0,Quercus laurifolia
1988.0,USA,Georgia,Ogeechee-EFP,Quercus laurifolia,Temperate,Deciduous,Wet,19.0,1258.0,Quercus laurifolia
1988.5,USA,Massachusetts,Harvard Forest,Hardwood,Temperate,Deciduous,Dry,8.5,1120.0,Hardwood
1988.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1120.0,Pinus resinosa
1988.5,USA,Massachusetts,Harvard Forest,Hardwood,Temperate,Deciduous,Dry,8.5,1120.0,Hardwood
1988.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1120.0,Pinus resinosa
1988.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1120.0,Pinus resinosa
1988.5,USA,Massachusetts,Harvard Forest,Hardwood,Temperate,Deciduous,Dry,8.5,1120.0,Hardwood
1989.0,USA,Alaska,R4D-Imnavait Creek,Betula nana; Salix pulchra; Sphagnum,Arctic,Deciduous,Wet,-12.0,350.0,Betula nana; Salix pulchra; Sphagnum
1989.0,USA,Alaska,R4D-Imnavait Creek,Eriophorum vaginatum; Carex bigelowii; Betula nana; Salix pulchra; Ledum palustre,Arctic,Deciduous,Dry,-12.0,350.0,Eriophorum vaginatum; Carex bigelowii; Betula nana; Salix pulchra; Ledum palustre
1989.5,USA,Massachusetts,Harvard Forest,Hardwood,Temperate,Deciduous,Dry,8.5,1120.0,Hardwood
1989.5,USA,Massachusetts,Harvard Forest,Hardwood,Temperate,Deciduous,Dry,8.5,1120.0,Hardwood
1989.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1120.0,Pinus resinosa
1989.5,USA,Massachusetts,Harvard Forest,Hardwood,Temperate,Deciduous,Dry,8.5,1120.0,Hardwood
1989.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1120.0,Pinus resinosa
1989.5,USA,Massachusetts,Harvard Forest,Pinus resinosa,Temperate,Evergreen,Dry,8.5,1120.0,Pinus resinosa
1990.0,USA,North Carolina,Croatan National Forest-gum swamp,Eucalyptus spp.,Temperate,Deciduous,Wet,16.8,1349.0,Eucalyptus spp.
1990.0,USA,North Carolina,Croatan National Forest-short pocosin,Pinus spp.,Temperate,Deciduous,Wet,16.8,1349.0,Pinus spp.
1990.0,USA,North Carolina,Croatan National Forest-tall pocosin,Pinus spp.,Temperate,Deciduous,Wet,16.8,1349.0,Pinus spp.
1991.0,USA,Kansas,Konza Prairie,Sorghum bicolor,Temperate,Deciduous,Dry,12.5,835.0,Sorghum bicolor
1991.0,USA,Kansas,Konza Prairie,Triticum aestivum,Temperate,Deciduous,Dry,12.5,835.0,Trigo
1991.0,USA,Kansas,Konza Prairie,Andropogon gerardii,Temperate,Deciduous,Dry,12.5,835.0,Andropogon gerardii
1991.0,USA,Kansas,Konza Prairie,Andropogon gerardii,Temperate,Deciduous,Dry,12.5,835.0,Andropogon gerardii
1991.0,USA,Hawaii,Interior forest,Metrosideros polymorpha,Tropical,Evergreen,Dry,13.0,2600.0,Metrosideros polymorpha
1991.0,USA,Hawaii,Edge forest,Metrosideros polymorpha,Tropical,Evergreen,Dry,13.0,2600.0,Metrosideros polymorpha
1991.0,USA,Massachusetts,Harvard Forest-Prospect Hill,Betula papyrifera; Acer rubrum; Quercus velutina; Acer pennsylvanicum,Temperate,Deciduous,Dry,6.0,1080.0,Betula papyrifera; Acer rubrum; Quercus velutina; Acer pennsylvanicum
1991.0,USA,Massachusetts,Harvard,Quercus borealis; Acer rubrum; Betula papyrifera,Temperate,Deciduous,Dry,6.0,1172.0,Quercus borealis; Acer rubrum; Betula papyrifera
1991.0,USA,Wisconsin,Haynes1,Pinus resinosa,Temperate,Evergreen,Dry,4.2,586.0,Pinus resinosa
1991.0,USA,Wisconsin,Haynes1,Pinus resinosa,Temperate,Evergreen,Dry,4.2,586.0,Pinus resinosa
1991.0,USA,Massachusetts,Harvard Forest-Prospect Hill,Betula papyrifera; Acer rubrum; Quercus velutina; Acer pennsylvanicum,Temperate,Deciduous,Dry,6.0,1080.0,Betula papyrifera; Acer rubrum; Quercus velutina; Acer pennsylvanicum
1991.0,USA,Minnesota,Chippewa NF-Bog Lake,Sphagnum,Temperate,Evergreen,Wet,3.0,770.0,Sphagnum
1991.0,USA,Hawaii,Ash forest,Acacia koa,Tropical,Evergreen,Dry,19.0,600.0,Acacia koa
1991.5,United Kingdom,Scotland,Glensaugh,Calluna vulgaris,Temperate,Evergreen,Dry,7.7,1040.0,Calluna vulgaris
1991.5,United Kingdom,Scotland,Glensaugh,Sphagnum,Temperate,Evergreen,Wet,7.7,1040.0,Sphagnum
1991.5,United Kingdom,Scotland,Bad à Cheo,Sphagnum,Temperate,Evergreen,Wet,7.7,1040.0,Sphagnum
1991.5,United Kingdom,Scotland,Bad à Cheo,Picea sitchensis,Temperate,Evergreen,Dry,7.7,1040.0,Picea sitchensis
1991.5,USA,Hawaii,Laupahoehoe Forest Reserve,Pennisetum clandestinum,Tropical,Evergreen,Dry,17.6,2500.0,Pennisetum clandestinum
