Entry_date,Duplicate_record,Quality_flag,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_interval,Annual_coverage,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
2017-02-08,,,Thailand,Ratchaburi,,TH-RAT,2011.5,1.0,13.58702778,99.50108333,110.0,,,,7.0,Dipterocarpus intricatus; Dipterocarpus obtusifolius; Dipterocarpus tuberculatus; Shorea obtusa; Shorea siamensis,Tropical,Forest,Managed,Loamy sand,Dry,1.35,,,,,,1253.0,,,,0.1,1.0,4140.0,,,,1440.0,2700.0,0.35,,,,,,,,,,,,,,,,,403.5,,,,,,,,,,488.0,,,,
2017-02-08,,,China,Zhejiang,Tea Research Institute-HP,CN-TRI-HP,2011.5,1.0,30.23,120.15,,Fertilized,,,,Camellia sinensis,Subtropical,Agriculture,Managed,,Dry,1.09,10.0,,,,17.0,1533.0,,,,7.0,1.0,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Zhejiang,Tea Research Institute-MP,CN-TRI-MP,2011.5,1.0,30.23,120.15,,Fertilized,,,,Camellia sinensis,Subtropical,Agriculture,Managed,,Dry,1.1,8.1,,,,17.0,1533.0,,,,7.0,1.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Zhejiang,Tea Research Institute-LP,CN-TRI-LP,2011.5,1.0,30.23,120.15,,Fertilized,,,,Camellia sinensis,Subtropical,Agriculture,Managed,,Dry,1.18,8.7,,,,17.0,1533.0,,,,7.0,1.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Zhejiang,Tea Research Institute-WL,CN-TRI-WL,2011.5,1.0,30.23,120.15,,,,,,Schima crenata korthals; Castanopsis sclerophylla; Cinnamonum camphora,Subtropical,Agriculture,Managed,,Dry,1.21,10.4,,,,17.0,1533.0,,,,7.0,1.0,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Zhejiang,Tea Research Institute-VF,CN-TRI-VF,2011.5,1.0,30.23,120.15,,Fertilized,,,,Brassica rapa chinensis; Raphanus sativus,Subtropical,Agriculture,Managed,,Dry,1.05,12.6,,,,17.0,1533.0,,,,7.0,1.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,USA,Tennessee,Stones River National Battlefield,US-SRN,2013.0,1.5,35.87638889,-86.43277778,,,,,,Juniperus virginiana; Quercus spp.,Temperate,Forest,Natural,,Dry,,,,,,,,,,,45.0,1.0,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,,,Estonia,,Kambja,EE-KAM,2010.5,1.0,58.05,27.02,,,,,13.0,Betula pendula,Temperate,Forest,Natural,Sandy loam (Albeluvisol),Dry,,15.2,,,,,,,,,30.0,0.5,618.0,,,,321.0,297.0,0.52,,,,,,,,,,,438.0,735.0,536.0,199.0,44.5,,148.0,,,,,20.1,,,,67.5,,,,,
2017-02-08,,,Estonia,,Alatskivi 2,EE-ALA,2010.5,1.0,58.62,27.03,,,,,32.0,Betula pendula,Temperate,Forest,Natural,Sandy loam (Gleyic umbrisol),Dry,,13.6,,,,,,,,,30.0,0.5,972.0,,,,551.0,421.0,0.57,,,,,,,,,,,374.0,795.0,540.0,255.0,72.0,,154.0,,,,,29.2,,,,97.5,,,,,
2017-02-08,,,Estonia,,Erastvere,EE-ERA,2010.5,1.0,57.13,26.93,,,,,45.0,Betula pendula,Temperate,Forest,Natural,Sandy loam (Albeluvisol),Dry,,15.8,,,,,,,,,30.0,0.5,817.0,,,,456.0,361.0,0.56,,,,,,,,,,,486.0,847.0,492.0,355.0,65.5,,103.0,,,,,29.8,,,,128.5,,,,,
2017-02-08,,,China,Chongming Island,Dongtan wetland-H,CN-DWH-MAT,2009.5,1.0,31.525,121.958,,,,,,Spartina alterniflora,Subtropical,Wetland,Natural,,Wet,,,,,,,,,,,45.0,0.9,444.0,17.0,,,,,,,,,,,,,,,,,,820.0,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Chongming Island,Dongtan wetland-H,CN-DWH-AGG,2009.5,1.0,31.525,121.958,,,,,,Phragmites australis,Subtropical,Wetland,Natural,,Wet,,,,,,,,,,,45.0,0.9,340.0,23.0,,,,,,,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Chongming Island,Dongtan wetland-L,CN-DWL-MAT,2009.5,1.0,31.525,121.958,,,,,,Spartina alterniflora,Subtropical,Wetland,Natural,,Wet,,,,,,,,,,,75.0,0.75,382.0,18.0,,,,,,,,,,,,,,,,,,940.0,,,,,,,,,,,,,,,,,,
2017-02-08,,,China,Chongming Island,Dongtan wetland-L,CN-DWL-AGG,2009.5,1.0,31.525,121.958,,,,,,Scirpus mariqueter,Subtropical,Wetland,Natural,,Wet,,,,,,,,,,,75.0,0.75,268.0,20.0,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,
2017-02-08,,,Japan,Nagano,Mt. Asama,JP-MAS-CK,2013.0,1.0,36.33,138.55,,,,,39.0,Quercus serrata,Temperate,Forest,Unmanaged,,Dry,,,,,,8.2,1241.7,,,,30.0,1.0,740.0,,,,230.0,510.0,0.31,,,,,,,,,,,160.0,670.0,,,,,330.0,,,,,37.0,,24949.0,,,,,,,
2017-02-08,,,Japan,Nagano,Mt. Asama,JP-MAS-UH,2013.0,1.0,36.33,138.55,,Harvest,,,39.0,Quercus serrata,Temperate,Forest,Managed,,Dry,,,,,,8.2,1241.7,,,,30.0,1.0,540.0,,,,170.0,370.0,0.31,,,,,,,,,,,350.0,720.0,,,,,380.0,,,,,35.0,,23455.0,,,,,,,
